Flight{carNumber=29023017, invNumber='32647007', sourceStation='Минусинск', destStation='Ханака', carLoadIdleDays=47, carUnloadIdleDays=null, distance =4199,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52646973, invNumber='ЭФ897340', sourceStation='Карповская', destStation='Костариха', carLoadIdleDays=36, carUnloadIdleDays=null, distance =1234,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28085074, invNumber='ЭФ899665', sourceStation='Красный Гуляй', destStation='Каменская', carLoadIdleDays=25, carUnloadIdleDays=null, distance =1242,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29031499, invNumber='null', sourceStation='Мууга', destStation='Селятино', carLoadIdleDays=23, carUnloadIdleDays=null, distance =1152,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52659729, invNumber='С0332534', sourceStation='Мууга', destStation='Березки', carLoadIdleDays=23, carUnloadIdleDays=null, distance =339,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28076669, invNumber='З0435872', sourceStation='Жинишке', destStation='Новокуйбышевская', carLoadIdleDays=32, carUnloadIdleDays=null, distance =704,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52648342, invNumber='З0435871', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=32, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29877891, invNumber='З0435870', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=33, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28085330, invNumber='23364850', sourceStation='Центролит', destStation='Алматы 1', carLoadIdleDays=0, carUnloadIdleDays=null, distance =4390,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29209541, invNumber='ЭФ825338', sourceStation='Низовка', destStation='Базаиха', carLoadIdleDays=22, carUnloadIdleDays=null, distance =3573,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52469913, invNumber='ЭЛ283367', sourceStation='Разъезд № 1', destStation='Актобе I', carLoadIdleDays=0, carUnloadIdleDays=null, distance =801,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52626918, invNumber='ЭТ754948', sourceStation='Колпино', destStation='Колпино', carLoadIdleDays=0, carUnloadIdleDays=null, distance =0,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52628922, invNumber='ЭЛ283424', sourceStation='Алматы 1', destStation='Курорт-Боровое', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1544,00, travelTime =null} --- (превышен лимит времени погрузки)
